"","PC1","PC2","PC3","PC4","PC5"
"2.C.3 Building and Construction",-0.00305450521073673,0.134891257050387,-0.0179124910008546,0.0959670356442787,0.0905093269880396
"2.C.3 Computers and Electronics",-0.0905687323750003,0.0256114220273104,0.196123989218046,-0.00169510884600484,0.0980559380161526
"2.C.3 Design",-0.0195136630052068,0.153457115765146,0.123144905899686,0.116419380648761,0.170194854497914
"2.C.3 Engineering and Technology",-0.0283406365110589,0.185443560068763,0.143724898510531,0.0583700803276012,0.0880214953395499
"2.C.3 Mechanical",0.0417799321243874,0.21331992590107,-0.0448877936138023,0.0111401226493607,0.068303122357296
"2.C.4 Biology",-0.0483600989922123,0.0215507979555877,-0.0256751753333967,-0.199408200813562,-0.0981322434614298
"2.C.4 Chemistry",-0.0173271011375089,0.131318453860972,0.00407274485912239,-0.143981849547831,-0.0877321903288693
"2.C.4 Geography",-0.0563559775094669,0.0195089902512233,0.056698913389742,-0.00174682537701688,0.0797784379081377
"2.C.4 Mathematics",-0.0740673543915643,0.109479977343875,0.171375163548235,0.0548537813987461,-0.0831126641250456
"2.C.4 Physics",-0.022603563357888,0.177584634010956,0.107039882376108,-0.075759925054588,0.0622673522135259
"2.C.4 Psychology",-0.0936297598433657,-0.0622239202856522,-0.137541029226058,-0.183160934646058,0.0801105736464174
"2.C.4 Sociology and Anthropology",-0.0921425245851483,-0.1008198270877,-0.0748656095710255,-0.143739053656249,0.18035166387035
"2.C.5 Medicine and Dentistry",-0.0431413323244058,-0.0165933361177057,-0.0789741370998992,-0.257071644813234,-0.0760655519330502
"2.C.5 Therapy and Counseling",-0.0704124833217716,-0.0638260412829793,-0.138085642670605,-0.216830575154389,0.0656050762410742
"2.C.6 Education and Training",-0.105513176004675,0.0112702493938319,-0.107297276512797,-0.0909492071504152,0.0813280178404887
"2.C.7 English Language",-0.12199150917576,-0.0655192929615845,0.0775453341316957,-0.0600220201930096,0.0971724877164996
"2.C.7 Fine Arts",-0.013392384667909,-0.0527412056512495,0.0167910603292948,0.053607090910142,0.315340784907664
"2.C.7 Foreign Language",-0.0458851695001261,-0.0509010774689136,-0.04623046372973,-0.0743117563171392,0.12936833426824
"2.C.7 History and Archeology",-0.0517409562793235,-0.0504482147753123,0.0139364112290395,-0.0202206400352514,0.227084329297022
"2.C.7 Philosophy and Theology",-0.0761246933008343,-0.0914458754853987,-0.0991233363161229,-0.128352174803993,0.203267522143242
"2.C.8 Law and Government",-0.0982653214603606,-0.00951803005943433,-0.0120354282024423,-0.0441226525062522,-0.0663742795743602
"2.C.8 Public Safety and Security",-0.0344641477236341,0.0940593800306247,-0.14999391262267,-0.0522530299712439,0.021199659750538
"2.C.9 Communications and Media",-0.0850161904384721,-0.0725635813490898,0.0462123957522022,0.02122776757915,0.247196116311285
"2.C.9 Telecommunications",-0.0436424436724951,0.0529235778983236,0.0424489289483548,-0.00927461472911454,0.187270529872758
"4.A.1 Estimating the Quantifiable Characteristics of Products, Events, or Information",-0.0604181197234968,0.165148843763816,0.0541738010766562,0.017469800244104,-0.122518015508774
"4.A.1 Getting Information",-0.129379640118934,-0.00848013536028354,0.0913970987182147,-0.0889070252718138,-0.0795380132792628
"4.A.1 Identifying Objects, Actions, and Events",-0.0973998085397877,0.0600561257254857,0.0216454209130589,-0.192148529468287,-0.130385380081359
"4.A.1 Inspecting Equipment, Structures, or Material",0.0450952284678519,0.194858786581835,-0.0865202362967929,-0.0746870479542022,-0.0679731557502069
"4.A.1 Monitor Processes, Materials, or Surroundings",-0.0488249987768106,0.146763853851172,-0.064114629534192,-0.19065560481883,-0.128778721974624
"4.A.2 Analyzing Data or Information",-0.115775035985507,0.0438682725616107,0.162239727457066,-0.0592709399170772,-0.111602701901149
"4.A.2 Developing Objectives and Strategies",-0.123622826859422,0.0490918932021185,-0.014800615884661,0.0123980100491832,0.0362045100851057
"4.A.2 Evaluating Information to Determine Compliance with Standards",-0.0938097552326077,0.0700940348042857,0.0194614264979178,-0.0984680801607115,-0.204194188232575
"4.A.2 Judging the Qualities of Things, Services, or People",-0.0981480393488653,0.0754520306932993,-0.0591529016857102,-0.026256235761333,-0.0666501373179058
"4.A.2 Making Decisions and Solving Problems",-0.125589876111243,0.0777512867644287,0.0241753133691413,-0.0764529085077902,-0.0335933566414978
"4.A.2 Organizing, Planning, and Prioritizing Work",-0.132887630291779,0.0151891308739598,0.0221416865828675,0.035936969842384,0.0151088594236509
"4.A.2 Processing Information",-0.108508804408499,0.0308918143161273,0.173042682382451,-0.0822689717266759,-0.155330037241119
"4.A.2 Scheduling Work and Activities",-0.12005349025644,0.0674451138701375,-0.0701563262211825,0.0789836317123519,0.0248746942482948
"4.A.2 Thinking Creatively",-0.0994119562123368,0.0391766885176664,0.0971328982021392,0.030017650132231,0.234697048491717
"4.A.2 Updating and Using Relevant Knowledge",-0.118761206214209,0.0439042142109118,0.110779173508708,-0.131333900719052,0.0316257835721142
"4.A.3 Controlling Machines and Processes",0.0803398814865117,0.165559807655631,-0.092958839842063,-0.0571947399130069,-0.0458292752034645
"4.A.3 Documenting/Recording Information",-0.104830059725112,0.0242572508350158,0.0729049831196075,-0.188643620779304,-0.113218368095393
"4.A.3 Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",-0.00533301529348187,0.176019475962551,0.0788335097914482,0.0652830752807642,0.135619058114658
"4.A.3 Handling and Moving Objects",0.101731333431974,0.115445860107246,-0.140043601998825,-0.054724651845399,0.00523653996449332
"4.A.3 Interacting With Computers",-0.106016387333793,-0.0060499709958236,0.196609583306633,0.000190792039441116,-0.0144218704949771
"4.A.3 Operating Vehicles, Mechanized Devices, or Equipment",0.0539576579751803,0.148250785189438,-0.128697051081094,-0.049757650258269,0.0076294788218318
"4.A.3 Performing General Physical Activities",0.0839819320955457,0.110975834351392,-0.15988220326741,-0.0638289975057943,0.0552128985799167
"4.A.3 Repairing and Maintaining Electronic Equipment",0.0353336786623974,0.17605587321119,0.0106503459105753,-0.0687717221377761,0.130591314461547
"4.A.3 Repairing and Maintaining Mechanical Equipment",0.0695162932979778,0.182467490795456,-0.0909240760224181,-0.0431374854590113,0.0479051947876704
"4.A.4 Assisting and Caring for Others",-0.0458007444560528,-0.0290365638585029,-0.200523450904462,-0.234458454068296,-0.0112683429343972
"4.A.4 Coaching and Developing Others",-0.116730576670208,0.0468939442078087,-0.138345790671421,0.0462310411242677,0.00887967099490686
"4.A.4 Communicating with Persons Outside Organization",-0.125099737768643,-0.0463340247545552,0.0198267317570241,0.0287334218850917,0.0663829653467446
"4.A.4 Communicating with Supervisors, Peers, or Subordinates",-0.125040334645503,0.043119089363033,-0.00288605834173842,0.00457854889097053,-0.067951756843448
"4.A.4 Coordinating the Work and Activities of Others",-0.110997325376532,0.0950330177308296,-0.112859460439308,0.112238228804266,-0.00919603618471362
"4.A.4 Developing and Building Teams",-0.116784113241695,0.0720931769724949,-0.110772592195716,0.0953468178116851,-0.0321756592613801
"4.A.4 Establishing and Maintaining Interpersonal Relationships",-0.128033930089799,-0.071322072715127,-0.0311694113705487,-0.0178828022122405,0.0512233458178883
"4.A.4 Guiding, Directing, and Motivating Subordinates",-0.109457010224703,0.0799924508311624,-0.147195725562864,0.117892369659041,-0.0349228855100511
"4.A.4 Interpreting the Meaning of Information for Others",-0.121759434776274,0.0289830784957827,0.0873004432336407,-0.107447369473005,-0.0163478214305769
"4.A.4 Monitoring and Controlling Resources",-0.096217240872503,0.0841041488118388,-0.110217368393425,0.137225257452047,-0.0755214360187381
"4.A.4 Performing Administrative Activities",-0.116222063319244,-0.0432366181689054,-0.0354562925624095,0.0320451944510156,-0.0878654870495945
"4.A.4 Performing for or Working Directly with the Public",-0.0636341131114414,-0.0968102510835122,-0.130128569691406,-0.0983324812958226,0.0914625823988436
"4.A.4 Provide Consultation and Advice to Others",-0.132772813329138,0.0567024461445289,-0.00320090131974414,0.0256191980305879,-0.010026058327677
"4.A.4 Resolving Conflicts and Negotiating with Others",-0.121580717419426,-0.00833846848839134,-0.141744606832667,0.0598795762436478,-0.0456199508871235
"4.A.4 Selling or Influencing Others",-0.089311730105511,-0.0209044799628372,-0.0652033127514346,0.137722043743,0.0681567517249067
"4.A.4 Staffing Organizational Units",-0.107269662808887,0.0352238757563327,-0.121518333339683,0.131902383737215,-0.0859452989336291
"4.A.4 Training and Teaching Others",-0.102412554750845,0.0634204017480827,-0.107096625204014,-0.0446700917497778,0.0257135749648756
